"forms_id","unit_id","gloss_id","gloss","form","source"
9319,4620,20,"word","dast-daryovi",2
9320,4620,20,"word","das-daryovi",2
9323,4623,20,"word","dastdarozi",2
9324,4623,20,"word","dasdarozi",2
9328,4626,20,"word","dasti",2
9337,4631,20,"word","dastyori",2
9338,4631,20,"word","dasyori",2
9353,4639,20,"word","dastorčā",2
9355,4640,20,"word","dastpalāč",2
9356,4640,20,"word","daspalāč",2
9365,4644,20,"word","dast-pokun",2
9366,4644,20,"word","das-pokunak",2
9368,4646,20,"word","dastūrulamal",2
9369,4646,20,"word","dastūramal",2
9370,4647,20,"word","dastxat",2
9371,4647,20,"word","dasxat",2
9383,4657,20,"word","dafdar",2
9384,4658,20,"word","dafdarak",2
9394,4668,20,"word","dax̌ti",2
9408,4682,20,"word","daqsuq",2
9411,4685,20,"word","dāw",2
9413,4687,20,"word","dāwat",2
9417,4690,20,"word","dawatnůmā",2
9424,4695,20,"word","dāy",2
9425,4696,20,"word","dāyak",2
9426,4697,20,"word","dālīʒ",2
9441,4710,20,"word","dāmka",2
9442,4710,20,"word","dāmkā",2
9461,4722,20,"word","dāf",2
9468,4728,20,"word","dāx̌t",2
9479,4737,20,"word","dewzīrā",2
9492,4748,20,"word","dewůnā",2
9494,4750,20,"word","dek",2
9495,4751,20,"word","dekak",2
9502,4756,20,"word","dekbicak",2
9503,4756,20,"word","dekbic",2
9507,4759,20,"word","dektolak",2
9508,4759,20,"word","dektol",2
9552,4792,20,"word","dêqůni",2
9565,4799,20,"word","diveniʒ",2
9583,4808,20,"word","divūsk",2
9585,4809,20,"word","divūsk-buc",2
9623,4827,20,"word","diyor",2
9626,4830,20,"word","dikak",2
9630,4833,20,"word","dil",2
9635,4838,20,"word","dilbar",2
9653,4852,20,"word","dillagi",2
9654,4852,20,"word","dilagi",2
9655,4852,20,"word","dillayi",2
9656,4852,20,"word","dilayi",2
9667,4861,20,"word","dilowari",2
9672,4866,20,"word","dilsardi",2
9675,4868,20,"word","dilsūzi",2
9676,4868,20,"word","dalsūzi",2
9689,4879,20,"word","dilquwati",2
9694,4882,20,"word","dinyo",2
9707,4892,20,"word","diraxt",2
9708,4892,20,"word","daraxt",2
9733,4913,20,"word","dirux̌ti",2
9734,4913,20,"word","drux̌ti",2
9741,4919,20,"word","dirūɣ",2
9749,4922,20,"word","dirūɣgūyi",2
